type,name,category,description,price,currency,tags
service,Первичная юридическая консультация,Консультации,"Разбор ситуации клиента юристом, оценка рисков и рекомендации по дальнейшим действиям. Подходит для вопросов по договорам, спорам, претензиям и защите прав.",3000,RUB,"консультация,юрист,разбор,риски"
service,Проверка договора,Договоры,"Анализ договора перед подписанием: поиск рискованных условий, проверка ответственности сторон, сроков, оплаты, штрафов и порядка расторжения.",5000,RUB,"договор,проверка,риски,сделка"
service,Подготовка договора,Договоры,"Разработка договора под конкретную задачу клиента: поставка, услуги, подряд, аренда, NDA или агентский договор. Учитываются интересы клиента и специфика сделки.",9000,RUB,"договор,подготовка,сделка,бизнес"
service,Претензия контрагенту,Досудебные споры,"Подготовка письменной претензии контрагенту при нарушении сроков, неоплате, некачественной услуге или отказе выполнять обязательства.",6000,RUB,"претензия,контрагент,долг,досудебно"
service,Взыскание задолженности,Судебные споры,"Сопровождение взыскания долга с контрагента: анализ документов, подготовка претензии, искового заявления и представление интересов в арбитражном суде.",35000,RUB,"долг,взыскание,арбитраж,суд"
service,Регистрация ООО,Корпоративное право,"Подготовка документов для регистрации ООО: устав, решение или протокол, заявление, подбор ОКВЭД и консультация по системе налогообложения.",12000,RUB,"ооо,регистрация,бизнес,корпоративное"
service,Внесение изменений в ЕГРЮЛ,Корпоративное право,"Подготовка документов для смены директора, юридического адреса, кодов ОКВЭД, состава участников или размера уставного капитала.",10000,RUB,"егрюл,изменения,директор,адрес"
service,Юридическое сопровождение бизнеса,Абонентское обслуживание,"Ежемесячная поддержка компании: консультации, проверка договоров, подготовка документов, помощь в переговорах и досудебных спорах.",30000,RUB,"абонентское,бизнес,договоры,поддержка"
service,Разработка оферты для сайта,Договоры,"Подготовка публичной оферты для онлайн-сервиса, интернет-магазина, школы или подписочного продукта. Документ описывает порядок оплаты, возвратов, оказания услуг и ответственность сторон. Услуга заказывается отдельно от аудита сайта.",15000,RUB,"оферта,сайт,онлайн,договор"
service,Политика конфиденциальности,Персональные данные,"Подготовка политики конфиденциальности и согласия на обработку персональных данных для сайта, формы заявки, рассылки или онлайн-сервиса. Услуга заказывается отдельно от аудита сайта.",9000,RUB,"персональные данные,152-фз,сайт,политика"
service,Аудит сайта на юридические риски,Персональные данные,"Проверка сайта на наличие обязательных юридических документов, корректность форм согласия, условий оплаты, возврата, обработки персональных данных и рекламных формулировок. Это именно проверка сайта: аудит не включает подготовку оферты, политики конфиденциальности или других документов; такие документы заказываются отдельными услугами.",18000,RUB,"сайт,аудит,риски,персональные данные"
service,Сопровождение сделки,Сделки,"Юридическое сопровождение сделки от проверки контрагента до подписания документов. Включает анализ договора, протокола разногласий, условий оплаты и способов защиты клиента.",25000,RUB,"сделка,контрагент,договор,переговоры"
service,Проверка контрагента,Сделки,"Проверка компании или ИП перед сделкой: регистрационные данные, признаки недобросовестности, судебные споры, долги, банкротство и полномочия подписанта.",7000,RUB,"контрагент,проверка,сделка,риски"
service,Протокол разногласий,Договоры,"Подготовка протокола разногласий к договору с правками условий об оплате, сроках, ответственности, приемке работ, расторжении и подсудности.",8000,RUB,"протокол разногласий,договор,правки,переговоры"
service,Защита от претензии,Досудебные споры,"Подготовка ответа на претензию клиента, поставщика, подрядчика или арендодателя. Юрист оценивает требования, доказательства и предлагает стратегию защиты.",7000,RUB,"ответ на претензию,защита,досудебно,спор"
service,Подготовка искового заявления,Судебные споры,"Составление искового заявления в суд с расчетом требований, ссылками на доказательства и правовым обоснованием позиции клиента.",18000,RUB,"иск,суд,заявление,спор"
service,Представительство в арбитражном суде,Судебные споры,"Ведение дела в арбитражном суде: подготовка процессуальных документов, участие в заседаниях, работа с доказательствами и оппонентами.",60000,RUB,"арбитраж,представительство,суд,бизнес"
service,Обжалование судебного решения,Судебные споры,"Анализ решения суда и подготовка апелляционной или кассационной жалобы. Юрист оценивает процессуальные нарушения и перспективы пересмотра.",30000,RUB,"апелляция,кассация,жалоба,суд"
service,Трудовой договор с сотрудником,Трудовое право,"Подготовка трудового договора, должностной инструкции и базовых кадровых документов с учетом роли сотрудника, графика, оплаты и условий конфиденциальности.",10000,RUB,"трудовой договор,сотрудник,кадры,работодатель"
service,Увольнение сотрудника без конфликта,Трудовое право,"Консультация и подготовка документов для корректного увольнения сотрудника по соглашению сторон, инициативе работодателя или иным законным основаниям.",12000,RUB,"увольнение,сотрудник,трудовое право,кадры"
service,Защита работодателя в трудовом споре,Трудовое право,"Помощь работодателю при претензиях сотрудника, проверке инспекции труда или судебном споре о восстановлении, выплатах и компенсациях.",30000,RUB,"трудовой спор,работодатель,инспекция,суд"
service,Регистрация товарного знака,Интеллектуальная собственность,"Сопровождение регистрации товарного знака: предварительная проверка обозначения, подготовка заявки, подача в Роспатент и ответы на запросы экспертизы.",45000,RUB,"товарный знак,бренд,роспатент,ип"
service,Договор с подрядчиком или фрилансером,Интеллектуальная собственность,"Подготовка договора с подрядчиком, дизайнером, разработчиком или автором контента с передачей прав на результат работ и условиями конфиденциальности.",12000,RUB,"подрядчик,фрилансер,права,контент"
service,Арендный спор,Недвижимость,"Помощь арендатору или арендодателю при задолженности, досрочном расторжении, удержании обеспечительного платежа, недостатках помещения или споре по ремонту.",25000,RUB,"аренда,недвижимость,спор,помещение"
service,Проверка договора аренды,Недвижимость,"Анализ договора аренды офиса, склада, торговой точки или помещения под услуги. Проверяются платежи, индексация, ремонт, обеспечительный платеж и условия расторжения.",7000,RUB,"аренда,договор,помещение,проверка"
service,Банкротство контрагента,Банкротство,"Оценка рисков при банкротстве должника или контрагента, подготовка заявления о включении в реестр требований кредиторов и сопровождение спора.",50000,RUB,"банкротство,должник,кредитор,реестр"
service,Медиация и переговоры,Переговоры,"Участие юриста в переговорах для урегулирования спора без суда. Помогает зафиксировать договоренности, снизить риски и подготовить соглашение.",20000,RUB,"медиация,переговоры,соглашение,спор"
plan,Start,Тариф,"Тариф для малого бизнеса. Включает до 3 консультаций в месяц, проверку 2 договоров и подготовку одной претензии или правового письма.",25000,RUB,"тариф,start,малый бизнес"
plan,Business,Тариф,"Тариф для компаний с регулярными юридическими задачами. Включает до 8 консультаций, проверку 6 договоров, подготовку документов и сопровождение досудебных споров.",55000,RUB,"тариф,business,компания,сопровождение"
plan,Premium,Тариф,"Расширенное юридическое сопровождение для бизнеса. Включает приоритетные консультации, неограниченную первичную проверку документов и участие юриста в переговорах.",95000,RUB,"тариф,premium,переговоры,приоритет"
plan,Online,Тариф,"Тариф для предпринимателей, которым нужна удаленная юридическая поддержка без постоянного сопровождения. Включает 2 онлайн-консультации и проверку одного документа в месяц.",15000,RUB,"тариф,online,ип,консультации"
plan,Court,Тариф,"Пакет для судебного спора. Включает анализ перспектив, подготовку позиции, претензию, иск или отзыв и базовое сопровождение дела на первом этапе.",75000,RUB,"тариф,court,суд,спор"
faq,Какие документы нужны для консультации?,FAQ,"Желательно заранее прислать договоры, переписку, счета, акты, претензии, судебные документы и краткое описание ситуации. Если документов нет, юрист начнет с устного разбора.",,,"faq,документы,консультация"
faq,Можно ли получить консультацию онлайн?,FAQ,"Да. Консультации проводятся онлайн по видеосвязи, телефону или в мессенджере. По итогам клиент получает краткие рекомендации и список следующих шагов.",,,"faq,онлайн,консультация,удаленно"
faq,Сколько занимает проверка договора?,FAQ,"Обычно проверка договора занимает 1-2 рабочих дня. Срочная проверка возможна в день обращения, если объем документа небольшой и юрист доступен.",,,"faq,договор,сроки,срочно"
faq,Вы работаете с физическими лицами?,FAQ,"Основной фокус - малый и средний бизнес, ИП и компании. Вопросы физических лиц рассматриваются, если они связаны с договорами, долгами, недвижимостью или предпринимательской деятельностью.",,,"faq,физлица,ип,бизнес"
faq,Можно ли оценить перспективы судебного спора?,FAQ,"Да. Юрист анализирует документы, позицию сторон, доказательства, сроки исковой давности и судебную практику, после чего дает оценку перспектив и возможных расходов.",,,"faq,суд,перспективы,риски"
faq,Можно ли срочно проверить договор сегодня?,FAQ,"Да, срочная проверка возможна при наличии свободного юриста. Стоимость зависит от объема договора, сложности условий и срока, к которому нужен результат.",,,"faq,срочно,договор,проверка"
faq,Вы помогаете с договорами для онлайн-школ?,FAQ,"Да. Можно подготовить оферту, политику конфиденциальности, согласие на обработку персональных данных, договор с преподавателем и правила возвратов.",,,"faq,онлайн-школа,оферта,документы"
faq,Можно ли сопровождать переговоры с контрагентом?,FAQ,"Да. Юрист может подготовить позицию, список рискованных условий, проект правок и участвовать в переговорах онлайн или письменно через обмен документами.",,,"faq,переговоры,контрагент,сделка"
faq,Какие споры чаще всего решаются без суда?,FAQ,"Без суда часто удается урегулировать споры по оплате, срокам поставки, качеству услуг, возврату аванса, аренде и расторжению договора.",,,"faq,досудебно,споры,переговоры"
faq,Работаете ли вы с ИП?,FAQ,"Да. Юристы помогают ИП с договорами, претензиями, долгами, арендой, сотрудниками, онлайн-продажами, персональными данными и спорами с контрагентами.",,,"faq,ип,малый бизнес,услуги"
faq,Можно ли заказать только один документ?,FAQ,"Да. Можно заказать отдельный договор, претензию, иск, оферту, политику конфиденциальности, протокол разногласий или ответ на претензию без покупки тарифа.",,,"faq,документ,разовая услуга,договор"
faq,Что входит в абонентское сопровождение?,FAQ,"Обычно в сопровождение входят консультации, проверка и подготовка документов, помощь в переговорах, претензионная работа и рекомендации по снижению юридических рисков.",,,"faq,абонентское,сопровождение,бизнес"
faq,Можно ли вернуть деньги за некачественную услугу?,FAQ,"Да, если есть основания и доказательства нарушения. Юрист изучит договор, переписку, акты и платежи, затем предложит претензию или судебный вариант защиты.",,,"faq,возврат,услуга,претензия"
faq,Помогаете ли вы с персональными данными на сайте?,FAQ,"Да. Можно отдельно заказать подготовку политики конфиденциальности, согласий и текстов для форм. Аудит сайта на юридические риски является отдельной услугой проверки и не заменяет подготовку документов.",,,"faq,персональные данные,сайт,152-фз"
faq,Как выбрать между разовой услугой и тарифом?,FAQ,"Разовая услуга подходит для одного документа или спора. Тариф выгоднее, если у бизнеса регулярно появляются договоры, вопросы сотрудников, претензии или переговоры.",,,"faq,тариф,разовая услуга,выбор"
